Algorithm,N,Case,CPU Time (ms),Memory (KB)
RQS,4000,case1,1.396,6076
RQS,4000,case2,0.753,6076
RQS,4000,case3,0.806,6076
RQS,8000,case1,2.723,6228
RQS,8000,case2,1.35,6228
RQS,8000,case3,1.421,6228
RQS,16000,case1,4.886,6228
RQS,16000,case2,2.632,6228
RQS,16000,case3,2.681,6228
RQS,32000,case1,8.684,6360
RQS,32000,case2,3.657,6360
RQS,32000,case3,3.849,6360
RQS,1000000,case1,139.085,12316
RQS,1000000,case2,46.387,12316
RQS,1000000,case3,65.661,12316
MS,4000,case1,1.77,6076
MS,4000,case2,0.919,6076
MS,4000,case3,0.947,6076
MS,8000,case1,3.513,6228
MS,8000,case2,1.753,6228
MS,8000,case3,1.826,6228
MS,16000,case1,7.16,6228
MS,16000,case2,3.388,6228
MS,16000,case3,4.037,6228
MS,32000,case1,10.435,6360
MS,32000,case2,5.955,6360
MS,32000,case3,4.778,6360
MS,1000000,case1,190.892,14176
MS,1000000,case2,77.648,14176
MS,1000000,case3,86.906,14176
BMS,4000,case1,1.666,6076
BMS,4000,case2,0.847,6076
BMS,4000,case3,1.069,6076
BMS,8000,case1,3.304,6228
BMS,8000,case2,1.571,6228
BMS,8000,case3,1.707,6228
BMS,16000,case1,6.068,6228
BMS,16000,case2,3.121,6228
BMS,16000,case3,3.242,6228
BMS,32000,case1,9.418,6360
BMS,32000,case2,4.107,6360
BMS,32000,case3,5.072,6360
BMS,1000000,case1,181.524,14172
BMS,1000000,case2,71.471,14172
BMS,1000000,case3,81.21,14172
IS,4000,case1,9.706,6076
IS,4000,case2,0.144,6076
IS,4000,case3,17.814,6076
IS,8000,case1,27.78,6228
IS,8000,case2,0.164,6228
IS,8000,case3,42.804,6228
IS,16000,case1,67.478,6228
IS,16000,case2,0.213,6228
IS,16000,case3,119.45,6228
IS,32000,case1,222.093,6360
IS,32000,case2,0.245,6360
IS,32000,case3,437.036,6360
IS,1000000,case1,149071.0,12316
IS,1000000,case2,1.752,12316
IS,1000000,case3,298205.0,12316
QS,4000,case1,1.136,6076
QS,4000,case2,17.214,6076
QS,4000,case3,14.664,6080
QS,8000,case1,2.204,6228
QS,8000,case2,40.71,6228
QS,8000,case3,36.065,6352
QS,16000,case1,4.531,6228
QS,16000,case2,121.938,6228
QS,16000,case3,100.619,6600
QS,32000,case1,6.802,6360
QS,32000,case2,451.272,6360
QS,32000,case3,350.793,7160
QS,1000000,case1,120.333,12316
QS,1000000,case2,273099.0,12316
QS,1000000,case3,188780.0,28848
